  ID   OPTIMUM TOLERANCE ABUNDANCE     POWER PROB_PRES   NO_SRCS  NO_LAKES
   1    11.998     9.538    28.280     0.385     0.803        32        44 Chiron_anthrac-type
   2    22.559     8.276    14.110     0.835     0.361       217        10  Chiron_plumos-type
   3    20.478     5.802     5.214     0.682     0.099       927         3           Einfeldia
   4    24.844     9.087    30.310     0.908     0.602        58        15          Procladius
   5    21.913     8.691    17.042     0.851     0.274       288         8        Micropsectra
   6    21.625     5.398     2.298     0.653     0.065      1252         2            Beardius
   7    20.845     6.243     6.225     0.625     0.031      1502         1    Parakiefferiella
   8    21.072     5.737    13.575     0.718     0.177       426         5Corynon_cf_coronata_
   9    11.139     6.707     2.899     0.613     0.030      1698         1Corynon_cf_lobata_ty
  10    20.846     6.243     3.121     0.625     0.031      1502         1      Psectrotanypus
  11    12.869     9.000     7.388     0.491     0.331       186        16          limnophyes
  12    26.635     4.886    15.299     0.675     0.365       126         9    Goeldichironomus
  13    15.993     8.575     8.929     0.721     0.167       564         6Paracmetr_Paraphaeno
  14    11.527     8.774     6.820     0.576     0.147       591         6   Pseudorthocladius
  15    24.676     8.837    17.598     0.856     0.333       172         9Polypedlium_nubifer-
  16    20.640     6.251    15.722     0.625     0.031      1500         1  Tanypodiinae_undif
  17    20.640     6.250     4.709     0.625     0.031      1500         1        Guttipelopia
  18    21.661     4.647     4.611     0.669     0.103       932         3      Glyptotendipes
  19    22.239     4.920    18.504     0.679     0.183       473         5         Tanytarus_I
  20     0.572     9.016    27.310     0.451     0.294       242        12        Tanytarus_II
  21    25.836     5.931    10.775     0.756     0.271       235         7         Labrundinia
  22    18.183     6.683     6.367     0.656     0.061      1338         2             Smittia
  23     7.753     7.076    31.918     0.784     0.770        76        33       Pseudosmittia
  24    24.355     6.092    10.557     0.624     0.031      1244         1 Chirnomus_unknown_I
  25    25.721     5.032     9.658     0.681     0.104       732         3Chironomus_Unknown_I
  26    11.552     4.665    25.964     0.901     0.967        15        30      Paratanytarsus
  27     2.661     6.342    21.154     0.829     0.465       233        15     Cricot_Paratr_I
  28     9.702     6.183    14.741     0.728     0.539       141        21    Cricot_Paratr_II
  29     6.902     5.752    53.395     0.797     0.830        83        34   Cricot_Paratr_III
  30     3.935     6.278    18.495     0.618     0.030      1374         1    Cricot_Paratr_IV
  31     2.742     7.086    20.902     0.672     0.305       525        11   Cricot_Paratr_VII
  32     8.220     3.425     7.825     0.648     0.308       265        10     Cricot_Paratr_V
  33     9.359     6.739    13.611     0.610     0.029      1675         1    Cricot_Paratr_VI
  34     5.215     7.778    91.664     0.688     0.161       850         6Pseudochiron_Reithia
  35    26.438     4.551     4.986     0.695     0.146       434         4   Cladopelma_type-I
  36    23.380     5.697    23.249     0.677     0.101       890         3    Cladopel_lateral
  37    26.303     4.963    11.594     0.679     0.105       682         3 Cladopel_lateral_II
  38    21.055     6.243     3.262     0.625     0.031      1497         1          Tanypod_IV
  39    13.822     8.734     3.674     0.605     0.106       733         4      Rheotanytarsus
  40    20.215     6.649     4.706     0.753     0.133       619         4       Phaenopsectra
  41     3.204     3.251    43.695     0.713     0.533       118        14Polypedil_nuber-type
  42     8.990     8.081     3.574     0.593     0.056      1113         2      Paracricotopus
  43    13.928     6.503    13.925     0.617     0.030      1685         1    Parakiefferiella
  44     4.564     6.266     7.317     0.639     0.059      1338         2          Diamesinae
  45     4.701     6.200     2.248     0.638     0.059      1339         2     Thiennem_type_I
  46    12.653     9.109     3.258     0.522     0.079       536         3Thiennem_cf_clavicor
  47    26.211     3.519    25.330     0.732     0.280       142         7     Cladotanytarsus
  48    26.420     4.573    13.364     0.697     0.146       437         4      Tanytarsus_III
  49    25.918     5.064    12.422     0.686     0.104       706         3             Tanypus
  50     6.215     7.359     6.722     0.623     0.085      1221         3      Parachironomus
  51    24.956     7.225    33.296     0.835     0.265       232         7     Microchironomus
  52    24.425     6.085     7.575     0.624     0.031      1239         1       Tanypodinae_I
  53    25.666     5.495    16.523     0.657     0.066      1021         2      Tanypodinae_II
  54    24.356     6.092    13.399     0.624     0.031      1244         1         Zavreliella
  55    24.818     6.470     3.100     0.689     0.101       852         3 Polypedil_sord-type
  56    24.425     6.086     4.702     0.624     0.031      1239         1          Stempelina
  57    25.698     5.488    10.612     0.656     0.066      1018         2 Paralauterborniella
  58    17.509     6.341    53.087     0.623     0.030      1634         1       Dicrotendipes
  59    13.929     6.503     4.641     0.617     0.030      1685         1              Larsia
